record_id|council_clean|category_clean|year_clean|document_title_clean|file_type_clean|document_url_clean|source_page_clean|retrieved_at_utc_clean|council|category|year_raw|document_title_raw|document_url|file_type|source_page|retrieved_at_utc
RES0001|Samfya Town Council|Community Projects||List of Proposed Projects From WDCs By Ward|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/List-of-Proposed-Projects-From-WDCs-By-Ward.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects||List of Proposed Projects From WDCs By Ward|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/List-of-Proposed-Projects-From-WDCs-By-Ward.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0002|Samfya Town Council|Community Projects|2025|List Of Approved Community Projects 2025|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/11/List-Of-Approved-Community-Projects-2025.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2025|List Of Approved Community Projects 2025|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/11/List-Of-Approved-Community-Projects-2025.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0003|Samfya Town Council|Community Projects||List of Deffered Projects By Ward|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/07/List-of-Deffered-Projects-By-Ward.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects||List of Deffered Projects By Ward|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/07/List-of-Deffered-Projects-By-Ward.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0004|Samfya Town Council|Community Projects|2025|Justification of Deffered Community Projects By Ward 2025|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/11/Justification-of-Deffered-Community-Projects-By-Ward-2025.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2025|Justification of Deffered Community Projects By Ward 2025|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/11/Justification-of-Deffered-Community-Projects-By-Ward-2025.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0005|Samfya Town Council|Community Projects|2025|Conveyance Notification for Approval 2025 CDF Projects|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/Conveyance-Notification-for-Approval-2025-CDF-Projects.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2025|Conveyance Notification for Approval 2025 CDF Projects|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/Conveyance-Notification-for-Approval-2025-CDF-Projects.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0006|Samfya Town Council|Community Projects|2024|2024 CDF Approved Community Project|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-CDF-Approved-Community-Project.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2024|2024 CDF Approved Community Project|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-CDF-Approved-Community-Project.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0007|Samfya Town Council|Community Projects|2023|Approval – CDF 2023 Community Projects|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2023-Community-Projects.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2023|Approval – CDF 2023 Community Projects|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2023-Community-Projects.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0008|Samfya Town Council|Community Projects|2022|COMMUNITY PROJECT APPROVAL 2022|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/COMMUNITY-PROJECT-APPROVAL-2022.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2022|COMMUNITY PROJECT APPROVAL 2022|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/COMMUNITY-PROJECT-APPROVAL-2022.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0009|Samfya Town Council|Community Projects|2022|2022 APPROVED|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-APPROVED.pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03Z|Samfya Town Council|community_projects|2022|2022 APPROVED|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-APPROVED.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2029|2026-09-11T15:58:03+00:00
RES0010|Samfya Town Council|Grants And Loans|2025|Approval – CDF 2025 Empowerment Grants|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2025-Empowerment-Grants.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2025|Approval – CDF 2025 Empowerment Grants|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2025-Empowerment-Grants.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0011|Samfya Town Council|Grants And Loans|2024|2024 APPROVED GRANTS|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-APPROVED-GRANTS-LETTER.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2024|2024 APPROVED GRANTS|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-APPROVED-GRANTS-LETTER.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0012|Samfya Town Council|Grants And Loans|2024|CDF 2024 GRANTS|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/CDF-2024-GRANTS-APPROVED.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2024|CDF 2024 GRANTS|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/CDF-2024-GRANTS-APPROVED.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0013|Samfya Town Council|Grants And Loans|2024|2024 CDF LOAN|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-CDF-LOAN.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2024|2024 CDF LOAN|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-CDF-LOAN.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0014|Samfya Town Council|Grants And Loans|2023|Approval of 2023 Grants|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-of-2023-Grants.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2023|Approval of 2023 Grants|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-of-2023-Grants.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0015|Samfya Town Council|Grants And Loans|2023|2023 Loans approval|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2023-Loans-approval.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2023|2023 Loans approval|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2023-Loans-approval.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0016|Samfya Town Council|Grants And Loans|2023|-2023 Approved CDF Loans|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2023-Approved-CDF-Loans.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2023|-2023 Approved CDF Loans|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2023-Approved-CDF-Loans.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0017|Samfya Town Council|Grants And Loans|2022|2022 Grant Approval|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-Grant-Approval.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2022|2022 Grant Approval|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-Grant-Approval.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0018|Samfya Town Council|Grants And Loans|2022|2022 Loans Approval|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-Loans-Approval.pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11Z|Samfya Town Council|grants_and_loans|2022|2022 Loans Approval|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-Loans-Approval.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2097|2026-09-11T15:58:11+00:00
RES0019|Samfya Town Council|Skills And Bursaries|2025|Approval – CDF 2025 Skills Development Bursaries|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2025-Skills-Development-Bursaries.pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19Z|Samfya Town Council|skills_and_bursaries|2025|Approval – CDF 2025 Skills Development Bursaries|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2025-Skills-Development-Bursaries.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19+00:00
RES0020|Samfya Town Council|Skills And Bursaries|2025|Approval – CDF 2025 Secondary Boarding Sch. Bursaries|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2025-Secondary-Boarding-Sch.-Bursaries.pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19Z|Samfya Town Council|skills_and_bursaries|2025|Approval – CDF 2025 Secondary Boarding Sch. Bursaries|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/Approval-CDF-2025-Secondary-Boarding-Sch.-Bursaries.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19+00:00
RES0021|Samfya Town Council|Skills And Bursaries|2024|2024 BURSARIES|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-BURSARIES.pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19Z|Samfya Town Council|skills_and_bursaries|2024|2024 BURSARIES|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2024-BURSARIES.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19+00:00
RES0022|Samfya Town Council|Skills And Bursaries|2023|2023 Secondary and Skills Approval|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2023-Secondary-and-Skills-Approval.pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19Z|Samfya Town Council|skills_and_bursaries|2023|2023 Secondary and Skills Approval|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2023-Secondary-and-Skills-Approval.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19+00:00
RES0023|Samfya Town Council|Skills And Bursaries|2023|SKILLS LIST APPROVED FOR 2023|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/SKILLS-LIST-APPROVED-FOR-2023.pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19Z|Samfya Town Council|skills_and_bursaries|2023|SKILLS LIST APPROVED FOR 2023|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/SKILLS-LIST-APPROVED-FOR-2023.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19+00:00
RES0024|Samfya Town Council|Skills And Bursaries|2022|2022 APPROVAL – SKILLS DEVELOPMENT BURSARIES|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-APPROVAL-SKILLS-DEVELOPMENT-BURSARIES.pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19Z|Samfya Town Council|skills_and_bursaries|2022|2022 APPROVAL – SKILLS DEVELOPMENT BURSARIES|http://www.samfyacouncil.gov.zm/wp-content/uploads/2025/06/2022-APPROVAL-SKILLS-DEVELOPMENT-BURSARIES.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=2078|2026-09-11T15:58:19+00:00
RES0025|Samfya Town Council|Publications|2022|Public Procurement Regulations 2022|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2024/12/Public-Procurement-Regulations-2022.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications|2022|Public Procurement Regulations 2022|http://www.samfyacouncil.gov.zm/wp-content/uploads/2024/12/Public-Procurement-Regulations-2022.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0026|Samfya Town Council|Publications||SAMFYA TOWN COUNCIL GRIEVANCE REDRESS MECHANISM|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/SAMFYA-TOWN-COUNCIL-GRIEVANCE-REDRESS-MECHANISM.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||SAMFYA TOWN COUNCIL GRIEVANCE REDRESS MECHANISM|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/SAMFYA-TOWN-COUNCIL-GRIEVANCE-REDRESS-MECHANISM.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0027|Samfya Town Council|Publications||Act-No.-3-The-Data-Protection-Act-2021_0-2|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Act-No.-3-The-Data-Protection-Act-2021_0-2.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||Act-No.-3-The-Data-Protection-Act-2021_0-2|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Act-No.-3-The-Data-Protection-Act-2021_0-2.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0028|Samfya Town Council|Publications|2022|EIGHTH-NATIONAL-DEVELOPMENT-PLAN-2022-2026|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/EIGHTH-NATIONAL-DEVELOPMENT-PLAN-2022-2026.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications|2022|EIGHTH-NATIONAL-DEVELOPMENT-PLAN-2022-2026|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/EIGHTH-NATIONAL-DEVELOPMENT-PLAN-2022-2026.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0029|Samfya Town Council|Publications|2011|Environmetal-Mangement-Act-12-of-2011|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Environmetal-Mangement-Act-12-of-2011.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications|2011|Environmetal-Mangement-Act-12-of-2011|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Environmetal-Mangement-Act-12-of-2011.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0030|Samfya Town Council|Publications||LA-Financial-Regulations|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/LA-Financial-Regulations.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||LA-Financial-Regulations|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/LA-Financial-Regulations.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0031|Samfya Town Council|Publications||LAND-ADMINISTRATIO-AND-ALLOCATION-2_075741|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/LAND-ADMINISTRATIO-AND-ALLOCATION-2_075741.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||LAND-ADMINISTRATIO-AND-ALLOCATION-2_075741|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/LAND-ADMINISTRATIO-AND-ALLOCATION-2_075741.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0032|Samfya Town Council|Publications||Landlord-and-Tenant-Business-Premises-Act|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Landlord-and-Tenant-Business-Premises-Act.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||Landlord-and-Tenant-Business-Premises-Act|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Landlord-and-Tenant-Business-Premises-Act.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0033|Samfya Town Council|Publications||Lands-Acquisition-Act|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Lands-Acquisition-Act.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||Lands-Acquisition-Act|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Lands-Acquisition-Act.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0034|Samfya Town Council|Publications||Lands-and-Deeds-Registry-Act|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Lands-and-Deeds-Registry-Act.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications||Lands-and-Deeds-Registry-Act|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Lands-and-Deeds-Registry-Act.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
RES0035|Samfya Town Council|Publications|2011|Liqour-Licensing-Act-2011|pdf|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Liqour-Licensing-Act-2011.pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27Z|Samfya Town Council|publications|2011|Liqour-Licensing-Act-2011|http://www.samfyacouncil.gov.zm/wp-content/uploads/2023/12/Liqour-Licensing-Act-2011.pdf|pdf|https://www.samfyacouncil.gov.zm/?page_id=195|2026-09-11T15:58:27+00:00
